[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_datetime.cpython-39-darwin.so first seen with mtime 1642289553.547098
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/cgi.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/backends/base/features.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/shutil.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/template/response.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/contrib/__init__.py first seen with mtime 1642289764.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_asyncio.cpython-39-darwin.so first seen with mtime 1642289553.3762019
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/models/functions/text.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/core/checks/compatibility/django_4_0.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/__init__.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/models/sql/__init__.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/models/fields/files.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/email/_parseaddr.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/PrestAr/prestamos/views.py first seen with mtime 1644280237.3632538
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/template/loader.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django_filters/exceptions.py first seen with mtime 1642286522.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/asyncio/threads.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/hmac.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sqlite3/__init__.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/email/utils.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/core/handlers/wsgi.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/posixpath.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/models/fields/__init__.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/email/mime/multipart.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/models/base.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/forms/boundfield.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/backends/base/creation.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/genericpath.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/asgiref/current_thread_executor.py first seen with mtime 1642289763.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/models/fields/mixins.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/http/multipartparser.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/http/__init__.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/sqlparse/engine/__init__.py first seen with mtime 1642289763.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/PrestAr/accounts/models.py first seen with mtime 1643496531.160134
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/importlib/__init__.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/utils/topological_sort.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/contrib/admin/models.py first seen with mtime 1642289764.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/core/mail/utils.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/core/signing.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/importlib/util.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/db/models/functions/datetime.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/contrib/admin/views/main.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/_compression.py first seen with mtime 1636999517.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1642289765.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /Users/supernova/Library/CloudStorage/OneDrive-Personal/dev/habprof/prestar2/venv/lib/python3.9/site-packages/django/contrib/admin/exceptions.py first seen with mtime 1642289764.0
[13/Feb/2022 12:22:15] DEBUG [django.utils.autoreload:385] File /opt/homebrew/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/argparse.py first seen with mtime 1636999517.0
